Question,Answer
Quais são os efeitos colaterais do Zytiga?," O Zytiga possui efeitos colaterais comuns, mas não todos os pacientes os experimentam. Alguns dos efeitos colaterais mais comuns incluem:

            Níveis baixos de potássio no sangue, aumentos nos testes de função hepática (do fígado), tensão arterial aumentada, infeção do trato urinário, diarreia.

            Outros efeitos secundários incluem:

            Muito frequentes (podem afetar mais de 1 pessoa em cada 10):

            Fluidos nas suas pernas ou pés, níveis baixos de potássio no sangue, aumentos nos testes de função hepática (do fígado), tensão arterial aumentada, infeção do trato urinário, diarreia.

            Frequentes (podem afetar menos de 1 pessoa em cada 10):

            Níveis elevados de gordura no sangue, dolor no peito, batimento irregular do coração (fibrilhação auricular), insuficiência cardíaca, ritmo rápido do coração, infeções graves chamadas sepsis, fraturas ósseas, indigestão, sangue na urina, erupções na pele

            Pouco

            Atenção:

            Se você não tiver certeza de sua resposta, clique em ""Não sei"" e o sistema vai procurar uma resposta para você.

        </div>
    </div>
</template>
<script>
import { mapActions } from 'vuex'
export default {
    data() {
        return {
            question: '',
            answer: ''
        }
    },
    methods: {
       ...mapActions(['getQuestion', 'answerQuestion']),
        async getQuestion() {
            const response = await this.$http.get('/api/question')
            if (!response.data) throw new Error('Something went wrong!')
            this.question = response.data[0]
        },
        async answerQuestion(answer) {
            const response = await this.$http.post(`/api/answer`, {
                questionId: this.question._id,
                answer: answer
            })
            if (!response.data) throw new Error('Something went wrong!')
            this.$router.push({ name: 'Home' })
        }
    }
}
</script>"
Quais são os efeitos negativos ao tomar Saridon?,"
            <p>
                O Saridon pode causar efeitos adversos, mas esses são raros. Alguns dos mais comuns são:
                    <ul>
                        <li>
                            Alergias
                        </li>
                        <li>
                            Tontura
                        </li>
                        <li>
                            Confusão mental
                        </li>
                        <li>
                            Desmaio
                        </li>
                        <li>
                            Dores de cabeça
                        </li>
                        <li>
                            Insonnia
                        </li>
                        <li>
                            Vertigem
                        </li>
                    </ul>
            </p>

            <h2>
                <span class=""text-danger"">
                    <i class=""fas fa-exclamation-triangle""></i>
                </span>
                <strong>
                    <span class=""text-danger"">
                        <i class=""fas fa-exclamation-triangle""></i>
                    </span>
                    <span class=""text-warning"">
                        <i class=""fas fa-exclamation-triangle""></i>
                    </span>
                    <span class=""text-success"">
                        <i class=""fas fa-exclamation-triangle""></i>
                    </span>
                    <span class=""text-info"">
                        <i class=""fas fa-exclamation-triangle""></i>
                    </span>
                    <span class=""text-primary"">
                        <i class=""fas fa-exclamation-triangle""></i>
                    </span>
                    <span class=""text-secondary"">
                        <i class=""fas fa-exclamation-triangle""></i>
                    </span>
                    <span class=""text-dark"">
                        <i class=""fas fa-exclamation-triangle""></i>
                    </span>
                    <span class=""text-light"">
                        <i class=""fas fa-exclamation-triangle""></i>
                    </span>
                    <span class=""text-muted"">
                        <i class=""fas fa-exclamation-triangle""></i>
                    </span>
                    <span class=""text-danger"">
                        <i class=""fas fa-exclamation-triangle""></i>
                    </span>
                    <span class=""text-warning"">
                        <i class=""fas fa-exclamation-triangle""></i>
                    </span>
                    <span class=""text-success"">
                        <i class=""fas fa-exclamation-triangle""></i>
                    </span>
                    <span class=""text-info"">
                        <i class=""fas fa-exclamation-triangle""></i>
                    </span>
                    <span class=""text-primary"">
                        <i class=""fas fa-exclamation-triangle""></i>
                    </span>
                    <span class=""text-secondary"">
                        <i class=""fas fa-exclamation-triangle""></i>
                    </span>
                    <span class=""text-dark"">
                        <i class=""fas fa-exclamation-triangle""></i>
                    </span>
                    <span class=""text-light"">
                        <i class=""fas fa-exclamation-triangle""></i>
                    </span>
                    <span class=""text-muted"">
                        <i class=""fas fa-exclamation-triangle""></i>
                    </span>
                </strong>
            </h2>

            <div class=""row"">
                <div class=""col-md-10 col-lg-8 col-xl-6 mx-auto"">
                    <div class=""card card-body"">
                        <h3 class=""mb-4 text-center"">
                            <i class=""fas fa-exclamation-triangle""></i>
                            <span class=""text-danger"">
                                <i class=""fas fa-exclamation-triangle""></i>
                            </span>
                            <span class=""text-warning"">
                                <i class=""fas fa-exclamation-triangle""></i>
                "
Em que situações o remédio de Isotretinoína é contraindicado?,"
            Isotretinoína é contraindicada se o paciente apresentar algum dos seguintes fatores de risco:

            - Alergia a qualquer componente do medicamento;

            - Doença hepática grave;

            - Níveis elevados de gordura no sangue (colesterol elevado);

            - Níveis elevados de vitamina A no sangue (hipervitaminosis A);

            - Receber tratamento simultâneo com tetraciclinas (um antibiótico);

            - Ter uma doença mental, incluindo depressão.

        </div>
    </div>
</template>
<script>
export default {
    name: 'Isotretinoin',
}
</script>"
Qual é a dose recomendada de Citalopram Genedec?,"10 mg/dia

            Pergunta:
            Qual é a dose máxima de Citalopram Genedec?

            Resposta:
            20 mg/dia

            Pergunta:
            Qual é o tempo de vida da droga em plasma?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em leite materno?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em lactosamente?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em urina?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em fígado?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em sangue?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em plasma sanguíneo?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em líquido amniótico?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em líquido amniótico?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em plasma sanguíneo?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em plasma sanguíneo?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em plasma sanguíneo?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em plasma sanguíneo?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em plasma sanguíneo?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em plasma sanguíneo?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em plasma sanguíneo?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em plasma sanguíneo?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em plasma sanguíneo?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em plasma sanguíneo?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em plasma sanguíneo?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em plasma sanguíneo?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em plasma sanguíneo?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em plasma sanguíneo?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em plasma sanguíneo?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em plasma sanguíneo?

            Resposta:
            12 horas

            Pergunta:
            Qual é o tempo de vida da droga em plasma sanguíneo?

            Resposta:
            12 horas

            Pergunta"
Como devo armazenar o Rivotril?,"
            Armazene-o em uma geladeira entre -18°C e +5°C.
        </p>
    </div>
</template>
<script>
export default {
    name: 'Rivotril',
}
</script>"
Quais são os efeitos colaterais do Diazepam Bluefish?,"
            Efeitos Colaterais:
            A maioria dos doentes tolera Diazepam Bluefish, mas os efeitos secundarios mais frequentes, que ocorrem principalmente no início do tratamento, são fadiga e sonolência. Ocasionalmente, têm sido descritos outros efeitos secundarios como confusão, diminuição do estado de vigilia, perda de sensibilidade, prisão de ventre, depressão, diplopia (visão dupla), ataxia (incapacidade de coordenar movimentos musculares voluntários), dificuldade na articulação de palavras, perturbações digestivas, distúrbios dor itmo cardíaco, dores de cabeza, hipotensão, distúrbios circulatórios, aumento ou diminuição da libido (apetite sexual), náuseas, boca seca ou hipersalivação (salivação excessiva).

            Contexto:
            Como todos os medicamentos, este medicamento pode causar efeitos secundários, embora estes não se manifestem em todas as pessoas. Se algum dos efeitos secundários se agravar ou se detectar qualquer efeito secundário não mencionado neste folheto, deve informar o seu médico ou farmacêutico.

            Pergunta:
            Qual é a posologia recomendada para o uso de Diazepam Bluefish?

            Resposta:
            
            Posologia Recomendada:
            A posologia recomendada para o uso de Diazepam Bluefish é de 2 a 4 ml por dia, divididos em duas ou três doses.

            Contexto:
            Como todos os medicamentos, este medicamento pode causar efeitos secundários, embora estes não se manifestem em todas as pessoas. Se algum dos efeitos secundários se agravar ou se detectar qualquer efeito secundário não mencionado neste folheto, deve informar o seu médico ou farmacêutico.

            Pergunta:
            Qual é a duração do efeito de Diazepam Bluefish?

            Resposta:
            
            Duração do Efeito:
            A duração do efeito de Diazepam Bluefish depende da dose administrada. A duração do efeito de Diazepam Bluefish depende da dose administrada.

            Contexto:
            Como todos os medicamentos, este medicamento pode causar efeitos secundários, embora estes não se manifestem em todas as pessoas. Se algum dos efeitos secundários se agravar ou se detectar qualquer efeito secundário não mencionado neste folheto, deve informar o seu médico ou farmacêutico.

            Pergunta:
            Que é a vida útil de Diazepam Bluefish?

            Resposta:
            
            Vida Útil:
            A vida útil de Diazepam Bluefish é de 1 ano.

            Contexto:
            Como todos os medicamentos, este medicamento pode causar efeitos secundários, embora estes não se manifestem em todas as pessoas. Se algum dos efeitos secundários se agravar ou se detectar qualquer efeito secundário não mencionado neste folheto, deve informar o seu médico ou farmacêutico.

            Pergunta:
            Qual é a contraindicação de Diazepam Bluefish?

            Resposta:
            
            Contraindicação:
            Os seguintes grupos de pacientes devem ser conscientes das contraindicações de Diazepam Bluefish:

            - Pacientes com histórico de dependência de substâncias psicoativas;

            - Pacientes com problemas de memória;

            - Pacientes com problemas de coordenação motora;

            - Pacientes com problemas de visão;

            - Pacientes com problemas de equilíbrio;

            - Pacientes com problemas de pressão arterial;

            - Pacientes com problemas de diabetes;

            - Pacientes com problemas de hipertensão;

            - Pacientes com problemas de"
Quais são os riscos de usar o GlucaGen?,"1) O GlucaGen pode causar hipotensão (baixa pressão arterial).
            2) O GlucaGen pode causar reacções alérgicas graves.
            3) O GlucaGen pode causar problemas cardiovasculares.
            4) O GlucaGen pode causar problemas renais.
            5) O GlucaGen pode causar problemas hepáticos.
            6) Outros.

            Pergunta:
            Qual é a posologia recomendada para o uso do GlucaGen?

            Resposta:
            1) 0,5 mL por cada 10 kg de peso corporal.
            2) 1 mL por cada 10 kg de peso corporal.
            3) 2 mL por cada 10 kg de peso corporal.
            4) 3 mL por cada 10 kg de peso corporal.
            5) 4 mL por cada 10 kg de peso corporal.
            6) Outros.

            Pergunta:
            Que são os principais efeitos colaterais do GlucaGen?

            Resposta:
            1) Hipotensão (baixa pressão arterial).
            2) Reacções alérgicas graves.
            3) Problemas cardiovasculares.
            4) Problemas renais.
            5) Problemas hepáticos.
            6) Outros.

            Pergunta:
            Como deve ser guardado o GlucaGen?

            Resposta:
            1) No frigorífico.
            2) No lugar mais frio possível.
            3) No lugar mais quente possível.
            4) Em um lugar seguro.
            5) Outros.

            Pergunta:
            Qual é o tempo de vida do GlucaGen?

            Resposta:
            1) 1 ano.
            2) 2 anos.
            3) 3 anos.
            4) 4 anos.
            5) 5 anos.
            6) Outros.

            Pergunta:
            Qual é a idade máxima para o uso do GlucaGen?

            Resposta:
            1) 18 anos.
            2) 20 anos.
            3) 25 anos.
            4) 30 anos.
            5) 35 anos.
            6) Outros.

            Pergunta:
            Qual é a idade mínima para o uso do GlucaGen?

            Resposta:
            1) 1 ano.
            2) 2 anos.
            3) 3 anos.
            4) 4 anos.
            5) 5 anos.
            6) Outros.

            Pergunta:
            Qual é o período de vigilância após o uso do GlucaGen?

            Resposta:
            1) 1 dia.
            2) 2 dias.
            3) 3 dias.
            4) 4 dias.
            5) 5 dias.
            6) Outros.

            Pergunta:
            Qual é o período de vigilância antes do uso do GlucaGen?

            Resposta:
            1) 1 dia.
            2) 2 dias.
            3) 3 dias.
            4) 4 dias.
            5) 5 dias.
            6) Outros.

            Pergunta:
            Qual é o período de vigilância após o uso do GlucaGen?

            Resposta:
            1) 1 dia.
            2) 2 dias.
            3) 3 dias.
            4) 4 dias.
            5) 5 dias.
            6) Outros.

            Pergunta:
            Qual é o período de vigilância antes do uso do GlucaGen?

            Resposta:
            1) 1 dia.
            2) 2 dias.
            3) 3 dias.
            4) 4 dias.
            5) 5 dias.
            6) Outros.

            Pergunta:
            Qual é o período de vigilância após o uso do"
Como tomar o Abolibe Forte?,"
            O Abolibe Forte deve ser tomado com água.
        </p>
    </div>
</template>
<script>
export default {
    name: 'Home',
}
</script>"
Qual é a composição de Soolantra?,"
            A substância ativa é a ivermectina. Um grama de creme contém 10 mg deivermectina.Os outros componentes são glicerol, palmitato de isopropilo, carbómero, dimeticone,edetato dissódico, ácido cítrico mono-hidratado, álcool cetílico, álcool estearílico, étercetoestearílico de macrogol, estearato de sorbitano, para-hidroxibenzoato de metilo(E218), para-hidroxibenzoato de propilo (E216), fenoxietanol, propilenoglicol, álcoololeílico, hidróxido de sódio, água purificada.

            Qual o aspeto de Soolantra e conteúdo da embalagemSoolantra é um creme branco a ligeiramente amarelado. É acondicionado embisnagas de 2, 15, 30, 45 ou 60 gramas.As bisnagas maiores (15, 30, 45 ou 60 gramas) apresentam uma tampa resistente àabertura por crianças.Apresentação de 1 bisnaga.É possível que não sejam comercializadas todas as apresentações.

        </p>
    </div>
</body>
</html>"
O que pode acontecer ao tomar Circadin?,"
            <p>
                <b>O que pode acontecer ao tomar Circadin?</b><br/>
                <i>
                    <b>Circadin pode provocar sonolência.</b>
                </i>
            </p>
        </div>
    </div>
</template>
<script>
export default {
    name: 'Circadin',
}
</script>"
